"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"664","67.685009270","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=809, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"665","67.786749309","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=810, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"666","67.788150417","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-86dBm","Data, SN=811, FN=0, Flags=.p....F."
"667","67.991326057","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=813, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"668","68.093581904","Sagemcom_7d:5b:41","Broadcast","802.11","440","-84dBm","Beacon frame, SN=814, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet: length of contained item exceeds length of containing item]"
"669","68.195886011","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=816, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"670","68.400428921","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=818, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"671","68.502721351","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=819, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"672","68.604999483","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=820, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"673","68.708595395","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-86dBm","Data, SN=822, FN=0, Flags=.p....F."
"674","68.911894262","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=824, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"675","69.014179464","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=825, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"676","69.116488272","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=826, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"677","69.117484031","Sagemcom_7d:5b:3f","Broadcast","802.11","120","-84dBm","Data, SN=827, FN=0, Flags=.p....F."
"678","69.218781188","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=828, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"679","69.423400823","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=830, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"680","69.627990839","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=832, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"681","69.629261540","Sagemcom_7d:5b:41","Spanning-tree-(for-bridges)_00","802.11","112","-86dBm","Data, SN=833, FN=0, Flags=.p....F."
"682","69.730286528","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=834, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"683","69.731664823","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-84dBm","Data, SN=835, FN=0, Flags=.p....F."
"684","69.835220807","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=836, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"685","69.934891062","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=837, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"686","70.037098205","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=838, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"687","70.139538705","Sagemcom_7d:5b:41","Broadcast","802.11","440","-84dBm","Beacon frame, SN=839, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet]"
"688","70.344143211","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=842, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"689","70.548723244","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=844, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"690","70.855546897","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=848, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"691","70.957964687","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=849, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"692","71.060259940","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=850, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"693","71.162521344","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=851, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"694","71.367167707","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=853, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"695","71.674153848","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=857, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"696","71.776353135","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=858, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"697","71.777728790","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-86dBm","Data, SN=859, FN=0, Flags=.p....F."
"698","71.878825733","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=860, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"699","71.981081789","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=861, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"700","72.083437628","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=862, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"701","72.287880525","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=864, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"702","72.595020013","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=867, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"703","72.697298217","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=868, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"704","72.902036886","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=871, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"705","73.004331372","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=872, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"706","73.106603273","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=873, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"707","73.208999885","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=874, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"708","73.311132487","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=875, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"709","73.413533692","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=876, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
