"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"38","6.042085958","Sagemcom_7d:5b:41","Broadcast","802.11","290","-94dBm","Beacon frame, SN=3534, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"39","6.144659203","Sagemcom_7d:5b:41","Broadcast","802.11","290","-94dBm","Beacon frame, SN=3535, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"40","6.349477450","Sagemcom_7d:5b:41","Broadcast","802.11","290","-92dBm","Beacon frame, SN=3538, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"41","6.555214220","Sagemcom_7d:5b:3f","Broadcast","802.11","120","-94dBm","Data, SN=3542, FN=0, Flags=.p....F."
"42","6.656536100","Sagemcom_7d:5b:41","Broadcast","802.11","290","-96dBm","Beacon frame, SN=3543, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"43","6.758966556","Sagemcom_7d:5b:41","Broadcast","802.11","290","-92dBm","Beacon frame, SN=3544, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"44","6.861363306","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=3545, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"45","6.963615934","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3546, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"46","7.066122468","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3547, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"47","7.168575732","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3548, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"48","7.270965737","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3549, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"49","7.272360594","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-84dBm","Data, SN=3550, FN=0, Flags=.p....F."
"50","7.373244391","Sagemcom_7d:5b:41","Broadcast","802.11","432","-84dBm","Beacon frame, SN=3551, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet]"
"51","7.475656919","Sagemcom_7d:5b:41","Broadcast","802.11","440","-84dBm","Beacon frame, SN=3553, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"52","7.578185208","Sagemcom_7d:5b:41","Broadcast","802.11","440","-84dBm","Beacon frame, SN=3555, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet]"
"53","7.680647662","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3557, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"54","7.782982259","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3558, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"55","7.885392413","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3559, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"56","7.987754879","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3560, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"57","8.192677793","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3562, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"58","8.194102640","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-84dBm","Data, SN=3563, FN=0, Flags=.p....F."
"59","8.295101445","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3564, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"60","8.499793394","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3566, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"61","8.500756158","Sagemcom_7d:5b:3f","Broadcast","802.11","120","-84dBm","Data, SN=3567, FN=0, Flags=.p....F."
"62","8.602139096","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3568, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"63","8.603126962","Sagemcom_7d:5b:3f","Broadcast","802.11","120","-84dBm","Data, SN=3569, FN=0, Flags=.p....F."
"64","8.704774318","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3570, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"65","8.807136390","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3571, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"66","8.909530839","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3572, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"67","9.012043696","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3573, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"68","9.114412059","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3574, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"69","9.216744928","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3575, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"70","9.218161103","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-84dBm","Data, SN=3576, FN=0, Flags=.p....F."
