"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"820","71.679115299","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1914, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"821","71.781505061","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1915, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"822","71.883959143","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1916, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"823","71.986194970","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1917, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"824","72.088540163","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1918, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"825","72.191048428","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1919, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"826","72.293525276","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1920, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"827","72.395789493","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1921, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"828","72.498158502","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1922, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"829","72.499576000","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-88dBm","Data, SN=1923, FN=0, Flags=.p....F."
"830","72.600770433","Sagemcom_7d:5b:41","Broadcast","802.11","432","-88dBm","Beacon frame, SN=1924, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet]"
"831","72.703006403","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1926, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"832","72.805398311","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1927, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"833","72.907791910","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1928, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"834","73.010222696","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1929, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"835","73.112592251","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1930, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"836","73.214962087","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1931, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"837","73.317368104","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1932, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"838","73.419731517","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1933, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"839","73.421177971","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-86dBm","Data, SN=1934, FN=0, Flags=.p....F."
"840","73.522200687","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1935, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"841","73.624527668","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1936, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"842","73.727008705","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1937, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"843","73.829464176","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1938, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"844","73.931738443","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1939, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"845","74.034182221","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1940, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"846","74.136538505","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1941, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"847","74.238948741","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1942, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"848","74.343073859","Sagemcom_7d:5b:41","Broadcast","802.11","290","-90dBm","Beacon frame, SN=1943, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"849","74.447260701","Sagemcom_7d:5b:41","Broadcast","802.11","290","-90dBm","Beacon frame, SN=1944, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"850","74.449141992","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-90dBm","Data, SN=1945, FN=0, Flags=.p....F."
"851","74.546176904","Sagemcom_7d:5b:41","Broadcast","802.11","432","-90dBm","Beacon frame, SN=1946, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet]"
"852","74.648510904","Sagemcom_7d:5b:41","Broadcast","802.11","290","-90dBm","Beacon frame, SN=1948, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"853","74.853302322","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1950, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"854","74.955822122","Sagemcom_7d:5b:41","Broadcast","802.11","356","-86dBm","Beacon frame, SN=1951, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet]"
"855","74.958524481","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (TA)","Sagemcom_7d:5b:41 (5c:b1:3e:7d:5b:41) (RA)","802.11","108","-96dBm","Request-to-send, Flags=........"
"856","75.058113689","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1952, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"857","75.160561385","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1953, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"858","75.262954527","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1954, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"859","75.365347042","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1955, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"860","75.467710590","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1956, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"861","75.469062407","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-86dBm","Data, SN=1957, FN=0, Flags=.p....F."
"862","75.570148104","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1958, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"863","75.672513518","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1959, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"864","75.774956841","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1960, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"865","75.877326088","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1961, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"866","75.979819317","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1962, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
